名称      体温      表面覆盖    胎生  产蛋  能飞  水生  有腿  冬眠      类标记
人           恒温      毛发              是       否       否       否       是       否           哺乳类
巨蟒      冷血      鳞片              否       是       否       否       否       是           爬行类
鲑鱼      冷血      鳞片              否       是       否       是       否       否           鱼类
鲸           恒温      毛发              是       否       否       是       否       否           哺乳类
蛙           冷血      无                   否       是       否       有时  是       是           两栖类
巨晰      冷血      鳞片              否       是       否       否       是       否           爬行类
蝙蝠      恒温      毛发              是       否       是       否       是       否           哺乳类
猫           恒温      皮                   是       否       否       否       是       否           哺乳类
豹纹鲨 冷血      鳞片              是       否       否       是       否       否           鱼类
海龟      冷血      鳞片              否       是       否       有时  是       否           爬行类
豪猪      恒温      刚毛              是       否       否       否       是       是           哺乳类
鳗           冷血      鳞片              否       是       否       是       否       否           鱼类
乌鸦      恒温      毛发              否       是       是       否       是       否           鸟类
蝾螈      冷血      无                   否       是       否       有时  是       是           两栖类
猫头鹰 恒温      毛发              否       是       是       否       是       否           鸟类
